date,player,market,line,pick,projection,actual,margin,result,flags,p_model,p_market,decimal_odds,stake_pct,realized_profit
2026-04-20,Dennis Schroder,PTS,4.5,OVER,5.732,5.0,,HIT,⚠BENCH NO-PO ⚠PO-ROLE ROT-RISK,0.5,,,,
2026-04-20,Miles McBride,PTS,7.5,OVER,11.02,0.0,,MISS,⚠SUSP-47% LOW-PO,0.5,,,,
2026-04-20,OG Anunoby,AST,1.5,OVER,2.3800000000000003,2.0,,HIT,⚠SUSP-59% LOW-PO LOW-LINE,0.5,,,,
2026-04-20,Landry Shamet,PTS,5.5,OVER,6.1160000000000005,0.0,,MISS,⚠BENCH LOW-PO,0.5,,,,
2026-04-20,Jamal Murray,3PM,2.5,OVER,3.9079999999999995,6.0,,HIT,⚠SUSP-56% LOW-PO,0.5,,,,
2026-04-21,Deni Avdija,PTS+AST,30.5,OVER,36.308,17.0,,MISS,LOW-PO,0.842,,,,
2026-04-21,Stephon Castle,REB+AST,12.5,OVER,16.988,12.0,,MISS,LOW-PO BLW-3m,0.823,,,,
2026-04-21,Quentin Grimes,AST,2.5,UNDER,1.8840000000000001,1.0,,HIT,LOW-PO,0.777,,,,
2026-04-21,Deandre Ayton,REB+AST,9.5,UNDER,6.596,6.0,,HIT,LOW-PO,0.776,,,,
2026-04-21,Stephon Castle,REB,5.5,OVER,7.7,7.0,,HIT,LOW-PO BLW-3m,0.765,,,,
2026-04-21,Jabari Smith Jr,3PM,2.0,OVER,2.792,3.0,,HIT,LOW-PO,0.764,,,,
2026-04-21,Kevin Durant,REB,4.5,OVER,5.9079999999999995,6.0,,HIT,NO-PO ⚠PO-ROLE,0.762,,,,
2026-04-21,Tyrese Maxey,AST,6.5,UNDER,5.356000000000001,9.0,,MISS,LOW-PO,0.76,,,,
2026-04-21,Amen Thompson,PTS+AST,22.5,OVER,26.284,25.0,,HIT,LOW-PO,0.76,,,,
2026-04-21,Devin Vassell,REB+AST,5.5,OVER,6.996,14.0,,HIT,LOW-PO BLW-3m,0.732,,,,
2026-04-21,Jrue Holiday,REB,4.5,OVER,5.82,5.0,,HIT,LOW-PO,0.73,,,,
2026-04-21,Dylan Harper,PRA,14.5,OVER,19.252,12.0,,MISS,LOW-PO,0.727,,,,
2026-04-21,Julian Champagnie,REB+AST,5.5,OVER,7.26,4.0,,MISS,LOW-PO,0.724,,,,
2026-04-21,Victor Wembanyama,PTS+AST,31.5,OVER,36.516000000000005,6.0,,MISS,LOW-PO HI-USG BLW-3m,0.72,,,,
2026-04-21,Marcus Smart,PTS,12.5,UNDER,8.364,25.0,,MISS,LOW-PO,0.719,,,,
2026-04-21,Jaylen Brown,PTS+AST,30.5,OVER,34.724,40.0,,HIT,LOW-PO HI-USG BLW-3m,0.716,,,,
2026-04-21,Payton Pritchard,3PM,2.5,OVER,3.292,0.0,,MISS,LOW-PO BLW-3m,0.715,,,,
2026-04-21,Luke Kennard,REB,3.5,UNDER,2.444,6.0,,MISS,LOW-PO,0.715,,,,
2026-04-21,Donovan Clingan,PTS+AST,10.5,OVER,13.668,11.0,,HIT,LOW-PO,0.714,,,,
2026-04-21,Andre Drummond,REB+AST,8.5,OVER,10.964,10.0,,HIT,LOW-PO,0.708,,,,
2026-04-21,VJ Edgecombe,REB+AST,9.0,OVER,11.376,12.0,,HIT,LOW-PO,0.704,,,,
2026-04-21,Toumani Camara,PRA,17.5,OVER,23.748,20.0,,HIT,LOW-PO,0.701,,,,
2026-04-21,Devin Vassell,REB,3.5,OVER,4.644,12.0,,HIT,LOW-PO BLW-3m,0.7,,,,
2026-04-21,De'Aaron Fox,PTS+AST,22.5,OVER,25.228,21.0,,MISS,LOW-PO BLW-3m,0.692,,,,
2026-04-21,Tari Eason,REB,4.5,OVER,5.556,8.0,,HIT,LOW-PO,0.676,,,,
2026-04-21,Sam Hauser,PTS+AST,8.5,OVER,10.787999999999998,7.0,,MISS,LOW-PO,0.672,,,,
2026-04-21,Scoot Henderson,PTS+AST,12.5,OVER,19.1,31.0,,HIT,⚠SUSP-53% LOW-PO,0.671,,,,
2026-04-21,Amen Thompson,AST,4.5,OVER,5.644,9.0,,HIT,LOW-PO,0.645,,,,
2026-04-21,Nikola Vucevic,REB+AST,6.5,OVER,9.052,6.0,,MISS,NO-PO ⚠PO-ROLE,0.643,,,,
2026-04-21,Kevin Durant,AST,4.5,OVER,6.26,4.0,,MISS,NO-PO ⚠PO-ROLE,0.642,,,,
2026-04-21,Neemias Queta,PTS+AST,10.5,OVER,14.196,8.0,,MISS,NO-PO ⚠PO-ROLE,0.64,,,,
2026-04-21,Rui Hachimura,PRA,19.5,UNDER,15.716,20.0,,MISS,LOW-PO,0.638,,,,
2026-04-21,Rui Hachimura,PTS,14.5,UNDER,11.596,13.0,,HIT,LOW-PO,0.637,,,,
2026-04-21,Derrick White,REB,4.5,UNDER,3.708,2.0,,HIT,LOW-PO BLW-3m,0.636,,,,
2026-04-21,Shaedon Sharpe,PTS,10.5,OVER,19.124000000000002,9.0,,MISS,⚠SUSP-82% LOW-PO,0.63,,,,
2026-04-21,Jabari Smith Jr,PTS,14.5,OVER,17.228,18.0,,HIT,LOW-PO,0.614,,,,
2026-04-21,Jake LaRavia,PTS,6.5,UNDER,4.828,0.0,,HIT,⚠BENCH LOW-PO,0.605,,,,
2026-04-21,Jerami Grant,PTS,10.5,OVER,18.772000000000002,5.0,,MISS,⚠SUSP-79% ⚠BENCH LOW-PO,0.604,,,,
2026-04-21,Dylan Harper,REB,2.5,OVER,3.6439999999999997,0.0,,MISS,⚠SUSP-46% LOW-PO,0.604,,,,
2026-04-21,Jarred Vanderbilt,REB,4.5,UNDER,3.7960000000000003,5.0,,MISS,⚠BENCH LOW-PO ROT-RISK,0.598,,,,
2026-04-21,Payton Pritchard,PTS,13.5,OVER,16.491999999999997,4.0,,MISS,LOW-PO BLW-3m,0.54,,,,
2026-04-21,Keldon Johnson,PTS,9.5,OVER,14.076,7.0,,MISS,⚠SUSP-48% LOW-PO,0.54,,,,
2026-04-21,Toumani Camara,PTS,10.5,OVER,16.924000000000003,10.0,,MISS,⚠SUSP-61% LOW-PO,0.508,,,,
2026-04-21,VJ Edgecombe,AST,3.5,OVER,5.348,2.0,,MISS,⚠SUSP-53% LOW-PO,0.5,,,,
2026-04-21,Nikola Vucevic,PTS,7.5,OVER,10.668,9.0,,HIT,⚠SUSP-42% NO-PO ⚠PO-ROLE,0.5,,,,
2026-04-21,Jaxson Hayes,PTS,5.5,OVER,9.812000000000001,6.0,,HIT,⚠SUSP-78% NO-PO ⚠PO-ROLE LO-USG,0.5,,,,
2026-04-22,Devin Booker,PTS+AST,28.5,OVER,35.804,26.0,,MISS,LOW-PO HI-USG,0.846,,,,
2026-04-22,Franz Wagner,AST,3.5,UNDER,2.62,1.0,,HIT,LOW-PO,0.791,,,,
2026-04-22,Paolo Banchero,REB,7.5,OVER,9.084000000000001,6.0,,MISS,LOW-PO,0.786,,,,
2026-04-22,Cade Cunningham,PTS,28.5,UNDER,18.732,27.0,,HIT,LOW-PO BLW-2m,0.777,,,,
2026-04-22,Jalen Duren,PTS+AST,20.0,OVER,24.224,15.0,,MISS,LOW-PO BLW-2m,0.759,,,,
2026-04-22,Anthony Black,REB,2.5,OVER,3.2039999999999997,3.0,,HIT,LOW-PO,0.746,,,,
2026-04-22,Devin Booker,PTS,23.5,OVER,29.924,22.0,,MISS,LOW-PO HI-USG,0.727,,,,
2026-04-22,Wendell Carter Jr,REB+AST,9.5,UNDER,7.739999999999999,5.0,,HIT,LOW-PO,0.721,,,,
2026-04-22,Daniss Jenkins,REB,1.5,OVER,3.7,2.0,,HIT,⚠SUSP-147% LOW-PO LOW-LINE BLW-2m,0.716,,,,
2026-04-22,Dillon Brooks,REB,3.5,OVER,4.028,6.0,,HIT,LOW-PO,0.702,,,,
2026-04-22,Jalen Suggs,PTS+AST,18.5,OVER,21.58,23.0,,HIT,LOW-PO,0.695,,,,
2026-04-22,Duncan Robinson,PTS+AST,12.5,OVER,14.964,13.0,,HIT,LOW-PO,0.681,,,,
